AAAASS,inc
198444,34
198445,126
198446,47
198447,38
198448,205
198449,154
198450,159
198451,85
198452,124
198501,40
198502,178
198503,539
198504,1374
198505,1515
198506,829
198507,858
198508,458
198509,377
198510,301
198511,277
198512,288
198513,244
198514,257
198515,80
198516,24
198517,53
198518,46
198519,74
198520,52
198521,29
198522,33
198523,21
198524,18
198525,36
198526,40
198527,19
198528,10
198529,7
198530,4
198531,11
198532,0
198533,0
198534,11
198535,25
198536,32
198537,50
198538,37
198539,70
198540,89
198541,81
198542,169
198543,173
198544,159
198545,124
198546,89
198547,89
198548,91
198549,112
198550,114
198551,167
198552,175
198601,172
198602,154
198603,197
198604,282
198605,499
198606,581
198607,803
198608,722
198609,704
198610,545
198611,397
198612,305
198613,229
198614,147
198615,134
198616,82
198617,60
198618,50
198619,37
198620,33
198621,10
198622,25
198623,28
198624,4
198625,13
198626,15
198627,9
198628,2
198629,2
198630,11
198631,2
198632,0
198633,0
198634,9
198635,17
198636,3
198637,21
198638,67
198639,84
198640,79
198641,68
198642,57
198643,66
198644,64
198645,82
198646,48
198647,80
198648,66
198649,122
198650,259
198651,150
198652,136
198701,102
198702,145
198703,156
198704,249
198705,314
198706,422
198707,445
198708,211
198709,160
198710,132
198711,99
198712,111
198713,119
198714,80
198715,106
198716,67
198717,44
198718,42
198719,31
198720,36
198721,20
198722,17
198723,14
198724,11
198725,22
198726,51
198727,18
198728,3
198729,14
198730,2
198731,9
198732,9
198733,4
198734,0
198735,2
198736,7
198737,16
198738,52
198739,51
198740,47
198741,135
198742,102
198743,157
198744,91
198745,90
198746,82
198747,69
198748,99
198749,93
198750,102
198751,118
198752,34
198753,89
198801,105
198802,137
198803,108
198804,92
198805,85
198806,65
198807,84
198808,114
198809,270
198810,354
198811,390
198812,304
198813,156
198814,110
198815,83
198816,36
198817,34
198818,30
198819,41
198820,28
198821,12
198822,12
198823,13
198824,14
198825,7
198826,9
198827,8
198828,10
198829,5
198830,11
198831,26
198832,7
198833,5
198834,10
198835,19
198836,25
198837,34
198838,69
198839,68
198840,75
198841,95
198842,49
198843,65
198844,53
198845,44
198846,90
198847,411
198848,1246
198849,1673
198850,1320
198851,1138
198852,383
198901,212
198902,166
198903,105
198904,83
198905,99
198906,57
198907,44
198908,38
198909,8
198910,9
198911,20
198912,27
198913,18
198914,48
198915,27
198916,17
198917,25
198918,21
