City	J	A	V	tot	ind
London	0.26	0.54	0.2	1	1
Paris	0.25	0.54	0.21	1	0
Rome	0.19	0.58	0.23	1	0
Berlin	0.2	0.55	0.25	1	0
Madrid	0.2	0.58	0.22	1	0
Warsaw	0.21	0.61	0.18	1	0
Budapest	0.21	0.57	0.22	1	1
Sofia	0.19	0.62	0.19	1	0
Stockholm	0.13	0.64	0.23	1	0
Hong-Kong	0.2	0.64	0.16	1	0
Tokyo	0.19	0.51	0.3	1	0
Peking	0.28	0.62	0.1	1	0
Shanghai	0.28	0.62	0.1	1	1
Singapore	0.24	0.67	0.09	1	0
Manila	0.45	0.49	0.06	1	0
Bangkok	0.28	0.62	0.1	1	0
Jacarta	0.37	0.57	0.06	1	0
Calcutta	0.41	0.52	0.07	1	1
Bombay	0.41	0.52	0.07	1	0
Delhi	0.41	0.52	0.07	1	0
Madras	0.41	0.52	0.07	1	0
Seoul	0.26	0.63	0.11	1	0
Teheran	0.4	0.54	0.06	1	0
Karachi	0.51	0.42	0.07	1	0
Cairo	0.49	0.45	0.06	1	0
Kinshasa	0.6	0.36	0.04	1	2
Johannesburg	0.42	0.5	0.08	1	0
Casablanca	0.39	0.53	0.08	1	1
Mexico-City	0.39	0.53	0.08	1	1
Bogota	0.4	0.51	0.09	1	0
Havana	0.26	0.58	0.16	1	0
Caracas	0.42	0.51	0.07	1	0
Lima	0.38	0.53	0.09	1	0
Santiago	0.34	0.54	0.12	1	1
Buenos-Aires	0.34	0.52	0.14	1	1
Rio-de-Janiero	0.39	0.52	0.09	1	1
Sao-Paulo	0.39	0.52	0.09	1	1
Honolulu	0.29	0.54	0.17	1	1
Sydney	0.26	0.56	0.18	1	0
Melbourne	0.26	0.56	0.18	1	1
Perth	0.26	0.56	0.18	1	0
Wellington	0.28	0.55	0.17	1	0
Montreal	0.25	0.58	0.17	1	1
New-York	0.29	0.54	0.17	1	1
Los-Angeles	0.29	0.54	0.17	1	1
Washington	0.29	0.54	0.17	1	1
Houston	0.29	0.54	0.17	1	0
Chicago	0.29	0.54	0.17	1	0
San-Francisco	0.29	0.54	0.17	1	1
Atlanta	0.29	0.54	0.17	1	0
Lagos	0.55	0.41	0.04	1	0
Capetown	0.42	0.5	0.08	1	0
