City	Populationsize	Zone	overall	female
London  11100   1       79.4	86.1
Paris   9775    1       80.7    84.1
Rome    3175    1       80.5    83.5
Berlin  5061    1       79.4    82.1
Madrid  4650    1       80.9    84.2
Warsaw  2323    1       75.6    79.8
Budapest        2565    1       73.3    77.4
Sofia   1205    1       73.3    76.7
Stockholm       1450    1       80.9    83
Hong-Kong       5396    0       82.2    85.1
Tokyo   23620   1       82.6    86.1
Peking  10500   1       73      74.8
Shanghai        9300    1       73      74.8
Singapore       3025    0       80      81.9
Manila  5474    0       71.7    73.9
Bangkok 6450    0       70.6    75
Jacarta 8600    0       72.6    72.7
Calcutta        11100   0       64.7    66.4
Bombay  9950    0       64.7    66.4
Delhi   7200    1       64.7    66.4
Madras  4475    0       64.7    66.4
Seoul   15850   1       78.6    82.2
Teheran 6400    1       71      72.6
Karachi 5300    1       65.5    65.8
Cairo   9300    1       71.3    73.6
Kinshasa        3000    0       46.5    47.7
Johannesburg    3650    -1      49.3    49.7
Casablanca      2475    1       71.2    73.4
Mexico-City     14100   0       76.2    78.6
Bogota  4260    0       72.9    76.6
Havana  2125    0       78.3    80.4
Caracas 3600    0       73.7    76.8
Lima    4344    0       71.4    74
Santiago        4100    -1      78.6    81.5
Buenos-Aires    10750   -1      75.3    79.1
Rio-de-Janiero  10150   0       72.4    76.1
Sao-Paulo       15175   0       72.4    76.1
Honolulu        762     0       78.2    80.8
Sydney  3365    -1      81.2    83.6
Melbourne       2833    -1      81.2    83.6
Perth   995     -1      81.2    83.6
Wellington      350     -1      80.2    82.2
Montreal        2921    1       80.7    82.9
New-York        16472   1       78.2    80.8
Los-Angeles     9764    1       78.2    80.8
Washington      3221    1       78.2    80.8
Houston 2755    1       78.2    80.8
Chicago 7717    1       78.2    80.8
San-Francisco   4054    1       78.2    80.8
Atlanta 1962    1       78.2    80.8
Lagos   3800    0       46.9    47.3
Capetown        1790    -1      49.3    49.7
