from	to	flow
1	2	2954
1	3	1666
1	4	922
1	5	2594
1	6	840
1	7	392
1	8	140
1	9	280
1	10	1272.9
1	11	1370.8
1	12	232.2
1	13	72.7
1	14	1608.6
1	15	135
1	16	1009.9
1	17	0
1	18	134
1	19	481.2
1	20	402.9
1	21	0
1	22	184.6
1	23	237.8
1	24	50.4
1	25	528.8
1	26	0
1	27	742
1	28	607
1	29	1046
1	30	236
1	31	0
1	32	0
1	33	0
1	34	0
1	35	940
1	36	369
1	37	1209
1	38	472
1	39	1314
1	40	472
1	41	0
1	42	0
1	43	1180
1	44	7066.8
1	45	1045
1	46	7080
1	47	944
1	48	4483
1	49	472
1	50	4720
1	51	394.5
1	52	0
2	3	1470
2	4	1316
2	5	266
2	6	322
2	7	378
2	8	42
2	9	490
2	10	509.2
2	11	1001.5
2	12	332.9
2	13	330.1
2	14	595.9
2	15	0
2	16	512
2	17	0
2	18	0
2	19	170.7
2	20	318.9
2	21	0
2	22	218.2
2	23	0
2	24	274.2
2	25	254.6
2	26	0
2	27	641
2	28	0
2	29	1180
2	30	236
2	31	236
2	32	0
2	33	0
2	34	0
2	35	0
2	36	336
2	37	0
2	38	101
2	39	0
2	40	0
2	41	0
2	42	0
2	43	944
2	44	1913.6
2	45	1913.6
2	46	2596
2	47	2832
2	48	708
2	49	472
2	50	944
2	51	254.6
2	52	0
3	4	98
3	5	350
3	6	182
3	7	70
3	8	98
3	9	98
3	10	0
3	11	607
3	12	135
3	13	0
3	14	114.7
3	15	0
3	16	257.4
3	17	0
3	18	0
3	19	28
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
3	25	478.4
3	26	0
3	27	135
3	28	203
3	29	472
3	30	0
3	31	0
3	32	0
3	33	0
3	34	0
3	35	135
3	36	67
3	37	135
3	38	135
3	39	0
3	40	0
3	41	0
3	42	0
3	43	270
3	44	588
3	45	0
3	46	472
3	47	0
3	48	236
3	49	0
3	50	708
3	51	0
3	52	0
4	5	98
4	6	182
4	7	140
4	8	0
4	9	70
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
4	25	36.4
4	26	0
4	27	0
4	28	0
4	29	0
4	30	0
4	31	0
4	32	0
4	33	0
4	34	0
4	35	0
4	36	0
4	37	0
4	38	0
4	39	0
4	40	0
4	41	0
4	42	0
4	43	0
4	44	3395.5
4	45	0
4	46	1376
4	47	0
4	48	0
4	49	0
4	50	0
4	51	0
4	52	0
5	6	98
5	7	98
5	8	0
5	9	294
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
